geography_level_1,geography_level_2,geography_level_2_bg
stara_zagora,Kolyu Ganchev,Кольо Ганчев
stara_zagora,Samara,Самара
stara_zagora,Vazrazhdane,Възраждане
stara_zagora,outskirts,Покрайнини
veliko_tarnovo,Buzludzha,Бузлуджа
veliko_tarnovo,Zona B,Зона Б
veliko_tarnovo,Kolyu Ficheto,Колю Фичето
veliko_tarnovo,Akatsiya,Акация
veliko_tarnovo,Kartala,Картала
veliko_tarnovo,Varusha,Варуша
veliko_tarnovo,Old Center,Стар център
veliko_tarnovo,Sveta Gora,Света гора
veliko_tarnovo,Asenov,Асенов
veliko_tarnovo,Center,Център
veliko_tarnovo,Zapaden,Западен
veliko_tarnovo,Western Industrial Zone,Индустриална зона - запад
veliko_tarnovo,NVU Vassil Levski,НВУ Васил Левски
veliko_tarnovo,Grobishten,Гробищен
veliko_tarnovo,Eastern Industrial Zone,Индустриална зона - изток
veliko_tarnovo,Veliko Tarnovo Hills,Велико Търново Хилс
veliko_tarnovo,Cholakovtsi,Чолаковци
veliko_tarnovo,outskirts,Покрайнини
blagoevgrad,Strumsko,Струмско
blagoevgrad,Alen Mak,Ален Мак
blagoevgrad,Elenovo,Еленово
blagoevgrad,Orlova Chuka,Орлова чука
blagoevgrad,Varosha,Вароша
blagoevgrad,Center,Център
blagoevgrad,Wide Center - North,Широк център - север
blagoevgrad,Balarbashi,Баларбаши
blagoevgrad,Osvobozhdenie,Освобождение
blagoevgrad,Zapad,Запад
blagoevgrad,Gramada,Грамада
blagoevgrad,Wide Center - South,Широк център - юг
blagoevgrad,Southern Industrial Zone,Южна промишлена зона
blagoevgrad,Skaptopara,Скаптопара
blagoevgrad,Izgrev village,с. Изгрев
blagoevgrad,outskirts,Покрайнини
sofia,all,всички
plovdiv,all,всички
varna,all,всички
burgas,all,всички
ruse,all,всички
stara_zagora,all,всички
southwestern,BLG52,Хаджидимово
northwestern,LOV18,Ловеч
northeastern,DOB20,Крушари
southeastern,SLV11,Котел
southwestern,BLG53,Якоруда
southcentral,KRZ02,Ардино
northeastern,VAR01,Аврен
southcentral,KRZ15,Крумовград
northcentral,GAB29,Севлиево
southcentral,KRZ14,Кирково
southeastern,BGS01,Айтос
southcentral,PAZ04,Белово
northwestern,VID09,Видин
northeastern,VAR02,Аксаково
southcentral,SML11,Златоград
southcentral,KRZ08,Джебел
northeastern,TGV35,Търговище
southwestern,SFO45,Сливница
northcentral,VTR28,Свищов
northcentral,SLS01,Алфатар
southcentral,PAZ19,Пазарджик
southeastern,BGS17,Поморие
southeastern,SZR24,Павел Баня
southcentral,HKV34,Хасково
northeastern,SHU25,Смядово
southeastern,JAM22,Стралджа
northeastern,DOB12,Генерал Тошево
southeastern,JAM26,Ямбол
southwestern,SFO39,Самоков
northwestern,VRC08,Бяла Слатина
northeastern,DOB27,Тервел
southcentral,HKV19,Минерални Бани
southcentral,PDV43,Сопот
northcentral,SLS34,Тутракан
southwestern,SFO54,Антон
northeastern,TGV02,Антоново
southwestern,SFO10,Горна Малина
southeastern,SZR07,Гълъбово
northeastern,TGV24,Попово
northcentral,VTR04,Велико Търново
southcentral,SML31,Смолян
southwestern,PER08,Брезник
northeastern,VAR16,Дългопол
northcentral,GAB05,Габрово
northwestern,VID16,Димово
southcentral,PDV01,Асеновград
southeastern,SLV16,Нова Загора
northcentral,VTR31,Стражица
northwestern,PVN21,Никопол
northeastern,DOB28,Добрич
northwestern,PVN16,Левски
southeastern,BGS09,Карнобат
northwestern,MON26,Медковец
southcentral,KRZ21,Момчилград
southcentral,PDV28,Садово
southcentral,SML02,Баните
southeastern,BGS13,Царево
southcentral,PAZ08,Велинград
northcentral,SLS31,Силистра
southcentral,PDV07,Брезово
southwestern,KNL04,Бобов Дол
northcentral,RSE33,Сливо Поле
southwestern,BLG02,Белица
southcentral,KRZ16,Кърджали
southwestern,KNL29,Кюстендил
southwestern,KNL05,Бобошево
northwestern,PVN10,Долна Митрополия
southwestern,PER36,Радомир
northeastern,SHU11,Хитрино
southcentral,KRZ35,Черноочене
southwestern,SFO43,Своге
northwestern,LOV34,Троян
southeastern,BGS23,Сунгурларе
southwestern,KNL48,Дупница
southwestern,BLG13,Гърмен
northwestern,VID06,Брегово
northcentral,RAZ26,Разград
northeastern,DOB03,Балчик
northwestern,MON02,Берковица
northcentral,GAB35,Трявна
northcentral,RSE08,Две Могили
northwestern,VRC10,Враца
southwestern,BLG11,Гоце Делчев
southwestern,PER51,Трън
northeastern,VAR26,Суворово
southwestern,BLG01,Банско
southwestern,BLG37,Разлог
southeastern,BGS15,Несебър
southcentral,PAZ20,Панагюрище
southcentral,PDV13,Карлово
southwestern,KNL27,Кочериново
southcentral,SML10,Доспат
southwestern,BLG33,Петрич
northcentral,VTR22,Павликени
southcentral,PAZ03,Батак
northcentral,RSE03,Борово
northwestern,LOV38,Ябланица
northwestern,VRC21,Криводол
northcentral,SLS07,Главиница
southeastern,SZR23,Опан
northcentral,VTR13,Елена
northwestern,PVN24,Плевен
southcentral,PDV12,Калояново
southcentral,SML09,Девин
northeastern,SHU22,Нови Пазар
northwestern,LOV19,Луковит
southwestern,SFO26,Костинброд
northwestern,MON29,Монтана
northeastern,DOB17,Каварна
southwestern,BLG40,Сандански
southeastern,BGS06,Средец
northwestern,PVN03,Белене
northwestern,MON04,Бойчиновци
southeastern,SZR27,Раднево
southcentral,HKV11,Ивайловград
northwestern,MON36,Чипровци
northcentral,RAZ14,Исперих
southcentral,PDV15,Лъки
southcentral,HKV17,Любимец
northcentral,RAZ16,Кубрат
southcentral,PDV37,Хисаря
northeastern,VAR08,Ветрино
northwestern,VID01,Белоградчик
southcentral,PDV25,Раковски
northeastern,SHU30,Шумен
northeastern,TGV22,Омуртаг
northwestern,VID33,Ружинци
northeastern,VAR04,Белослав
northcentral,RSE37,Ценово
southwestern,SFO56,Мирково
southwestern,PER19,Земен
southwestern,SFO16,Драгоман
southeastern,SLV20,Сливен
southeastern,BGS18,Руен
southcentral,HKV33,Харманли
northcentral,RSE04,Бяла (Русе)
southcentral,PAZ32,Стрелча
southeastern,BGS12,Малко Търново
southeastern,SLV24,Твърдица
northeastern,VAR24,Провадия
southwestern,SFO17,Елин Пелин
southwestern,PER32,Перник
northcentral,RAZ29,Самуил
southwestern,BLG42,Сатовча
southcentral,SML38,Чепеларе
northwestern,VRC27,Мездра
southwestern,SFO20,Ихтиман
southcentral,HKV09,Димитровград
northeastern,DOB29,Шабла
southwestern,SFO07,Ботевград
northcentral,RSE13,Иваново
